Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
0,30558.4,54.8370071,-4.917502,15.9,355.2489,10
1,30558.4,54.8370069,-4.9175023,15.9,1.487545,10
2,30558.6,54.8370068,-4.9175018,15.9,6.858073,10
3,30558.6,54.8370068,-4.917502,15.9,11.72373,10
4,30558.8,54.8370061,-4.917501,15.9,16.61264,10
5,30558.8,54.837006,-4.9175009,15.9,21.11687,10
6,33459,54.8370051,-4.9174999,15.9,25.35177,10
7,33459,54.8370048,-4.9174994,15.9,28.65445,10
8,30559.2,54.837004,-4.9174981,15.9,30.805,9
9,30559.2,54.8370038,-4.9174978,15.9,31.85382,9
10,30559.4,54.8370029,-4.9174964,15.9,31.81452,9
11,30559.4,54.837003,-4.9174964,15.9,31.24068,9
12,30559.6,54.8370025,-4.9174958,15.9,30.99755,9
13,30559.6,54.8370027,-4.9174958,15.9,31.69359,9
14,30559.8,54.8370023,-4.9174953,15.9,33.09129,10
15,30559.8,54.8370024,-4.9174952,15.9,34.9563,10
16,33460,54.8370021,-4.9174952,15.9,36.38102,10
17,33460,54.8370021,-4.9174947,15.9,35.68869,10
18,30560.2,54.8370017,-4.917495,15.9,32.68869,10
19,30560.2,54.8370018,-4.9174942,15.9,27.19949,10
20,30560.4,54.8370011,-4.9174925,15.8,20.70895,10
21,30560.4,54.8370011,-4.9174921,15.8,13.12259,10
22,30560.6,54.8370009,-4.9174909,15.8,5.986914,10
23,30560.6,54.8370009,-4.9174909,15.8,0.4678293,10
24,30560.8,54.8370009,-4.9174907,15.8,357.2028,10
25,30560.8,54.8370008,-4.9174907,15.8,354.78,10
26,33461,54.8370008,-4.9174897,15.8,353.5854,10
27,33461,54.8370006,-4.9174895,15.8,351.1278,10
28,30561.2,54.8370006,-4.9174885,15.7,347.4066,9
29,30561.2,54.8370005,-4.917488,15.7,344.0015,9
30,30561.4,54.8370008,-4.9174861,15.7,341.6054,9
31,30561.4,54.8370006,-4.9174857,15.7,339.7721,9
32,30561.6,54.8370022,-4.9174818,15.6,338.2437,9
33,30561.6,54.8370021,-4.9174809,15.6,337.4669,9
34,30561.8,54.8370027,-4.9174807,15.5,336.9182,9
35,30561.8,54.8370025,-4.9174799,15.5,336.3469,9
36,33462,54.8370029,-4.9174803,15.4,335.9409,9
37,33462,54.8370026,-4.9174796,15.4,335.7804,9
38,30562.2,54.8370029,-4.9174797,15.3,335.6893,9
39,30562.2,54.8370027,-4.9174791,15.3,335.7632,9
40,30562.4,54.837003,-4.9174795,15.2,335.7254,9
41,30562.4,54.8370028,-4.9174789,15.2,335.7477,9
42,30562.6,54.837003,-4.9174792,15.1,335.675,9
43,30562.6,54.8370028,-4.9174787,15.1,335.7361,9
44,30562.8,54.837003,-4.917479,15,335.7455,10
45,30562.8,54.8370028,-4.9174786,15,335.7374,10
46,33463,54.837003,-4.9174788,15,335.7573,10
47,33463,54.8370029,-4.9174784,15,335.7663,10
48,30563.2,54.837003,-4.9174781,14.9,335.7642,10
49,30563.2,54.837003,-4.9174777,14.9,335.8064,10
50,30563.4,54.8370031,-4.9174774,14.8,335.7793,10
51,30563.4,54.8370031,-4.917477,14.8,335.8085,10
52,30563.6,54.8370031,-4.9174767,14.7,335.8108,10
53,30563.6,54.8370031,-4.9174763,14.7,335.8013,10
54,30563.8,54.837003,-4.9174761,14.6,335.824,10
55,30563.8,54.8370031,-4.9174757,14.6,335.817,10
56,33464,54.837003,-4.9174755,14.5,335.8328,10
57,33464,54.837003,-4.9174751,14.5,335.8395,10
58,30564.2,54.8370029,-4.9174749,14.4,335.8379,10
59,30564.2,54.837003,-4.9174745,14.4,335.8569,10
60,30564.4,54.8370029,-4.9174746,14.4,335.8495,10
61,30564.4,54.837003,-4.9174743,14.4,335.8532,10
62,30564.6,54.8370029,-4.9174743,14.4,335.847,10
63,30564.6,54.8370029,-4.917474,14.4,335.8447,10
64,30564.8,54.8370028,-4.917474,14.3,335.8602,10
65,30564.8,54.8370029,-4.9174738,14.3,335.8584,10
